time,x,y,vx,vy,omega,linear_velocity,distance_from_start,goal_status
0.047,6.954922421747678,1.9283923076670306,2.2465534138491117e-06,6.495818832881833e-06,4.6051594410417036e-05,6.873329946314188e-06,0.0,SUCCEEDED
0.079,6.954922403834571,1.9283924842098792,2.246556668497961e-06,6.495828579891202e-06,4.605150604184123e-05,6.8733402217629234e-06,1.7744930768167368e-07,SUCCEEDED
0.114,6.954922385378369,1.9283926661024635,2.2465603661821886e-06,6.495838648095721e-06,4.605141472589372e-05,6.87335094557194e-06,3.60275847390696e-07,SUCCEEDED
0.147,6.954922367464733,1.9283928426452197,2.246563786210868e-06,6.4958483069127e-06,4.605132609744898e-05,6.873361191726701e-06,5.377251165216412e-07,SUCCEEDED
0.18,6.954922349550837,1.9283930191879277,2.246567175632495e-06,6.4958578839313345e-06,4.605123724922654e-05,6.873371350571875e-06,7.151743639860022e-07,SUCCEEDED
0.213,6.954922331093823,1.9283932010803673,2.246570717365236e-06,6.495868066157933e-06,4.605114630625476e-05,6.873382131167549e-06,8.980008416125316e-07,SUCCEEDED
0.247,6.954922313179398,1.9283933776229838,2.2465743404540184e-06,6.49587773719419e-06,4.605105769925424e-05,6.873392455240827e-06,1.0754500515012744e-06,SUCCEEDED
0.28,6.954922295264714,1.9283935541655526,2.246577535902781e-06,6.495887327081953e-06,4.605096895512197e-05,6.873402562848108e-06,1.2528992399868177e-06,SUCCEEDED
0.314,6.954922276806888,1.928393736057849,2.246581053932684e-06,6.495897446693975e-06,4.605087787148971e-05,6.87341327652096e-06,1.4357256570800004e-06,SUCCEEDED
0.346,6.954922258891674,1.928393912600325,2.246584679844071e-06,6.495907125316092e-06,4.605078930375582e-05,6.8734236086860274e-06,1.613174806976845e-06,SUCCEEDED
0.38,6.9549222409762015,1.9283940891427551,2.246587901369229e-06,6.49591678499825e-06,4.605070077093013e-05,6.873433790777402e-06,1.790623937017748e-06,SUCCEEDED
0.414,6.954922222517562,1.9283942710349078,2.2465916358322984e-06,6.4959264635021185e-06,4.6050609585576645e-05,6.8734441583109394e-06,1.97345029331787e-06,SUCCEEDED
0.447,6.954922204601561,1.9283944475772448,2.2465950565632435e-06,6.49593612501475e-06,4.6050521035756594e-05,6.8734544072428425e-06,2.150899384150731e-06,SUCCEEDED
0.479,6.9549221866853,1.9283946241195349,2.246598240731193e-06,6.495946174440177e-06,4.605043248004587e-05,6.873464945460947e-06,2.328348454645139e-06,SUCCEEDED
0.513,6.954922168225849,1.9283948060115434,2.24660197495617e-06,6.495955852362919e-06,4.605034131379664e-05,6.8734753123674655e-06,2.511174749533825e-06,SUCCEEDED
0.547,6.95492215030906,1.9283949825537419,2.2466054190198228e-06,6.495965576556148e-06,4.6050252961891906e-05,6.873485628163609e-06,2.688623782057789e-06,SUCCEEDED
0.58,6.954922132392009,1.9283951590958928,2.246608815513425e-06,6.4959751736741635e-06,4.6050164267593066e-05,6.873495808315716e-06,2.866072793760796e-06,SUCCEEDED
0.614,6.9549221139317465,1.928395340987757,2.2466123178209764e-06,6.495985252395303e-06,4.605007315023043e-05,6.873506478204717e-06,3.0488990270199113e-06,SUCCEEDED
0.646,6.95492209601417,1.9283955175298153,2.246615953734318e-06,6.49599495852313e-06,4.604998472944419e-05,6.87351683963395e-06,3.226347999691299e-06,SUCCEEDED
0.68,6.95492207809633,1.9283956940718272,2.2466191750211424e-06,6.496004618554292e-06,4.6049896274580194e-05,6.873527021977246e-06,3.4037969527368444e-06,SUCCEEDED
0.714,6.954922059635256,1.928395875963549,2.246622873664073e-06,6.496014691771404e-06,4.604980513305926e-05,6.87353775083694e-06,3.586623126357352e-06,SUCCEEDED
0.747,6.954922041716889,1.9283960525054673,2.246626291245858e-06,6.496024345566498e-06,4.604971663133635e-05,6.873547991445885e-06,3.7640720393582e-06,SUCCEEDED
0.779,6.954922023798263,1.928396229047339,2.24662970662666e-06,6.496033993745651e-06,4.6049628124705954e-05,6.8735582260279474e-06,3.941520932465083e-06,SUCCEEDED
0.814,6.954922005336375,1.9283964109389162,2.2466332102994323e-06,6.496044076708568e-06,4.604953707265063e-05,6.873568900371975e-06,4.124347044199095e-06,SUCCEEDED
0.847,6.95492198741722,1.928396587480695,2.2466366331984853e-06,6.496053745196788e-06,4.604944863992074e-05,6.873579156604996e-06,4.30179589810516e-06,SUCCEEDED
0.88,6.954921969497805,1.928396764022427,2.246640249143754e-06,6.496063399159955e-06,4.604936013918891e-05,6.873589462208104e-06,4.479244731807565e-06,SUCCEEDED
0.914,6.9549219510351055,1.9283969459138601,2.2466435543469176e-06,6.496073482781514e-06,4.6049269148991417e-05,6.873600072304592e-06,4.662070782141242e-06,SUCCEEDED
0.945,6.954921933115163,1.9283971224554994,2.2466472137929764e-06,6.496082763689847e-06,4.604918075762033e-05,6.873610039560876e-06,4.839519576865542e-06,SUCCEEDED
0.98,6.9549219151949595,1.9283972989970923,2.2466506101707316e-06,6.49609285066225e-06,4.6049092379574136e-05,6.873620682624676e-06,5.016968351697657e-06,SUCCEEDED
1.012,6.954921896731448,1.928397480888383,2.2466541371091817e-06,6.496102507558386e-06,4.604900133161099e-05,6.873630961907699e-06,5.19979434240105e-06,SUCCEEDED
1.047,6.954921878810716,1.9283976574298825,2.2466575525184377e-06,6.496112156780533e-06,4.604891289766578e-05,6.873641197484778e-06,5.377243077594137e-06,SUCCEEDED
1.08,6.9549218608897245,1.9283978339713366,2.246660993094095e-06,6.496121873074691e-06,4.604882464967312e-05,6.8736515046756614e-06,5.554691794000476e-06,SUCCEEDED
1.114,6.954921842425401,1.9283980158624836,2.2466644677385737e-06,6.496131879571982e-06,4.604873346224885e-05,6.873662097265945e-06,5.737517723750902e-06,SUCCEEDED
1.147,6.954921824503881,1.9283981924038431,2.2466678944726387e-06,6.496141559301094e-06,4.604864513608846e-05,6.8736723653759475e-06,5.91496639941547e-06,SUCCEEDED
1.18,6.9549218065820995,1.928398368945157,2.2466715165278993e-06,6.496151230314837e-06,4.604855675039973e-05,6.873682689090234e-06,6.092415055942043e-06,SUCCEEDED
1.214,6.954921788116964,1.928398550836159,2.2466748095191164e-06,6.496161282365382e-06,4.604846575351211e-05,6.87369326535821e-06,6.275240923416816e-06,SUCCEEDED
1.2469999999999999,6.954921770194655,1.9283987273773793,2.2466784448427556e-06,6.4961709888358775e-06,4.6048377480121614e-05,6.873703626918603e-06,6.452689540218294e-06,SUCCEEDED
